id,index,mask_area_results,circle_area_results,curvature_results,decimalLatitude,decimalLongitude,genus,specificEpithet,pr_cat_id,count_gt_thresh,ind_max_iou,max_mask_iou
NSW:NSW:NSW 308761,5,8.148827,4.801296,1.00744,-29.53,150.58,Eucalyptus,chloroclada,0,0,-1,0
NSW:NSW:NSW 939607,1,1.909234,0.2752898,1.082594,-18.42,133.85,Eucalyptus,odontocarpa,0,0,-1,0
NSW:NSW:NSW 304967,0,31.04848,16.03942,1.033284,-13.65,131.65,Corymbia,ferruginea,0,0,-1,0
NSW:NSW:NSW 328914,10,6.284569,1.049327,1.072877,-33.87,147.77,Eucalyptus,melliodora,0,0,-1,0
NSW:NSW:NSW 310328,0,16.9811,2.619866,1.182209,-13.75,143.25,Corymbia,stockeri,0,0,-1,0
NSW:NSW:NSW 355830,5,4.917114,1.252864,1.019632,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355737,1,6.578305,0.9740688,1.038183,-30.35,149.85,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 472753,1,82.67666,53.52797,1.035534,-18.22,127.67,Eucalyptus,pantoleuca,0,0,-1,0
NSW:NSW:NSW 266486,3,8.826394,2.67912,1.032268,-34.27,117.67,Eucalyptus,marginata,0,0,-1,0
NSW:NSW:NSW 370653,9,7.126603,1.511123,1.13416,-29.58,152.33,Eucalyptus,acaciiformis,0,0,-1,0
NSW:NSW:NSW 300848,0,22.76616,9.778838,1.019181,-13.47,132.28,Eucalyptus,tectifica,0,0,-1,0
NSW:NSW:NSW 303754,6,12.34325,8.465845,1.006209,-20.3,143.43,Eucalyptus,microneura,0,0,-1,0
NSW:NSW:NSW 302444,0,4.87384,0.5900675,1.203573,-17.38,138.28,Corymbia,capricornia,0,0,-1,0
NSW:NSW:NSW 215325,11,1.772113,0.5472179,1.037295,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 370653,1,5.001039,1.69124,1.048617,-29.58,152.33,Eucalyptus,acaciiformis,0,0,-1,0
NSW:NSW:NSW 355795,9,5.208964,1.563116,1.039582,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 308511,0,12.97978,2.586832,1.057956,-23.47,146.62,Corymbia,dolichocarpa -- plena,0,0,-1,0
NSW:NSW:NSW 312421,0,41.64564,18.36626,1.034481,-17.7,141.05,Corymbia,grandifolia,0,0,-1,0
NSW:NSW:NSW 200470,0,6.605098,1.297268,1.030812,-33.4,122.4,Eucalyptus,quadrans,0,0,-1,0
NSW:NSW:NSW 200471,0,1.931824,0.2652931,1.234369,-33.0,121.65,Eucalyptus,leptamba -- quadrans,0,0,-1,0
NSW:NSW:NSW 215325,10,0.0318971,0.01127392,1.097044,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 500253,3,4.248013,0.8252219,1.056067,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 200471,4,3.825848,0.4986968,1.229103,-33.0,121.65,Eucalyptus,leptamba -- quadrans,0,0,-1,0
NSW:NSW:NSW 302001,3,5.523364,2.910306,1.006462,-25.02,149.75,Corymbia,trachyphloia,0,0,-1,0
